cluster_id,rule_number,rule,precision,recall,f1_score,n_workflows_in_cluster,cluster_size,combined_score
0,1,max_depth > 7.5 and max_features = None,1.0,0.75,0.8571428571428571,72,96,0.6428571428571428
0,2,max_depth <= 2.0 and max_features = None,1.0,0.25,0.4,24,96,0.1
0,3,n_estimators > 75.0 and min_samples_split <= 7.5 and min_samples_leaf <= 1.5 and max_features = None,0.9166666666666667,0.25,0.39285714285714285,24,96,0.09821428571428571
1,1,"max_depth > 7.5 and max_features IN {'log2', 'sqrt'}",1.0,0.75,0.8571428571428571,144,192,0.6428571428571428
1,2,"max_depth <= 2.0 and max_features IN {'log2', 'sqrt'}",1.0,0.25,0.4,48,192,0.1
1,3,n_estimators <= 175.0 and n_estimators > 75.0 and max_depth <= 17.5 and max_depth > 7.5,0.85,0.25,0.3863636363636363,48,192,0.09659090909090907
2,1,"max_depth <= 7.5 and max_depth > 2.0 and max_features IN {'log2', 'sqrt'}",1.0,1.0,1.0,48,48,1.0
2,2,n_estimators <= 175.0 and max_depth <= 7.5 and max_depth > 2.0 and min_samples_leaf > 1.5,1.0,0.375,0.5454545454545454,18,48,0.20454545454545453
2,3,n_estimators > 75.0 and max_depth <= 7.5 and max_depth > 2.0 and min_samples_leaf > 1.5,0.8,0.375,0.5106382978723405,18,48,0.1914893617021277
3,1,max_depth <= 7.5 and max_depth > 2.0 and max_features = None,1.0,1.0,1.0,24,24,1.0
3,2,n_estimators > 75.0 and max_depth <= 7.5 and max_depth > 2.0 and min_samples_split > 3.5,0.5714285714285714,0.5,0.5333333333333333,12,24,0.26666666666666666
3,3,n_estimators > 75.0 and max_depth <= 7.5 and max_depth > 2.0 and min_samples_leaf <= 1.5,0.8333333333333334,0.375,0.5172413793103448,9,24,0.19396551724137928
